Mother Reg #,Father Reg #,Child Reg #,Registration #,Registered Name,Sex,Call Name,Color,Birthday,DNA Info,CHIC #,Hips,Registration Type,OFA Link
PR19520702,PR19917302,None,PR23772310,Phillip William Gilligan,Male,Gilligan,Red,3/9/2021,None,None,Unknown,AKC,None
PR16837004,PR16278901,PR23772310,PR19520702,Sharmik's JJ'S Riley On The Edge,Female,Riley,Black,10/28/2016,None,137584,Good,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2024788#
Unknown,Unknown,PR19520702,PR16278901,Sharmik's Black Night,Male,Unknown,Black,6/10/2012,AKC DNA #V765284,111731,Excellent,AKC,https://www.ofa.org/advanced-search?appnum=1630698
PR09820906,PR06651904,PR19520702,PR16837004,Touch O Class & Sharmik's Annie Get Ur Gun,Female,Unknown,Red,3/8/2013,None,107430,Good,AKC,https://www.ofa.org/advanced-search?appnum=1649302
PR03506801,PR03773207,PR16837004,PR06651904,President Lincoln Of Arroyo,Male,Unknown,Apricot,6/15/2005,AKC DNA #V583386,46304,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1228756
PR02254301,PR07732403,PR16837004,PR09820906,Ms Fergi A Dutchess At A Touch Of Class,Female,Unknown,Red,3/16/2007,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1523756
Unknown,Unknown,PR06651904,PR03773207,Mr Christal's He Is A Realgem,Male,Unknown,Apricot,1/18/2004,AKC DNA #V402801,None,Unknown,AKC,None
Unknown,Unknown,PR06651904,PR03506801,Victoria Pierre Elegant Copy,Female,Unknown,Brown,8/16/2003,None,None,Unknown,AKC,None
PP57734303,PP56536803,PR09820906,PR07732403,Lemars Touch Of Class Red Pepper,Male,Unknown,Red,11/13/2005,AKC DNA #V468184,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1610703
PP52198202,PP56536803,PR09820906,PR02254301,Walter's Blazing Red Tasha,Female,Unknown,Red,6/14/2003,None,None,Unknown,AKC,None
PP29715101,PP49495801,,PP56536803,Lemar's Flaming Red Fire,Male,Unknown,Red,4/24/1998,AKC DNA #V174942,None,Unknown,AKC,None
Unknown,Unknown,PR07732403,PP57734303,Sunkist Miss Ginger Of Lemar,Female,Unknown,Red,10/1/1998,None,None,Unknown,AKC,None
PR17396205,PR17970506,PR23772310,PR19917302,Heavenly Touch Of Crimson Red,Male,Teddy,Red,4/5/2017,None,None,Fair,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2177535#
PR15687101,PR16479603,PR19917302,PR17970506,Heavenly Roscoe,Male,Unknown,Red,9/22/2014,AKC DNA #V780168,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765445
PR16087001,PR16086901,PR19917302,PR17396205,Heavenly Zandra,Female,Unknown,Red & Apricot,12/22/2013,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765443
PR11944102,PR14323903,PR17970506,PR16479603,Payden Cash Redz Jamaica Me Happy,Male,Unknown,Red,8/31/2012,AKC DNA #V726594,101894,Good,AKC,https://www.ofa.org/advanced-search?appnum=1553980
PR13935707,PR10664503,PR17970506,PR15687101,Silverace's Baby Maggie May,Female,Unknown,Red,11/8/2011,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1633900
TQ175114,SW134700,PR17396205,PR16086901,Cantope's Heavenly Zachary,Male,Unknown,Apricot,4/20/2010,AKC DNA #V664129,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1576233
Unknown,Unknown,PR17396205,PR16087001,Cantope's Heavenly Zena,Female,Unknown,Red,5/28/2010,AKC DNA #V664128,None,Unknown,AKC,
Unknown,Unknown,PR16479603,PR14323903,Billingsley's Sam I Am,Male,Unknown,Red,5/21/2010,None,None,Unknown,AKC,
PR07821005,PR09389306,PR16479603,PR11944102,"Semonile Lady Of The Night ""Eboni""",Female,Unknown,Black,7/21/2008,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1477576
PR01965808,PP64726509,PR11944102,PR07821005,Ami A Maya,Female,Unknown,Black,2/21/2006,None,51730,Good,AKC,https://www.ofa.org/advanced-search?appnum=1309069
PR02244901,PR03335206,PR11944102,PR09389306,Forest Hills Lee's Red Ball,Male,Unknown,Red,12/25/2006,AKC DNA #V524828,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1310837
RJ031998,1085035,PR16086901,SW134700,Cantope Zoric Maximus,Male,Unknown,Apricot,11/9/2006,Unknown,None,Excellent,CKC,https://www.ofa.org/advanced-search?appnum=1347984
Unknown,Unknown,PR16086901,TQ175114,Cantope Lady In Red,Female,Unknown,Unknown,8/15/2007,Unknown,None,Unknown,CKC,https://www.ofa.org/advanced-search?appnum=989005
Unknown,Unknown,SW134700,1085035,Unknown,Male,Unknown,Unknown,Unknown,Unknown,None,Unknown,Unknown,
Unknown,Unknown,SW134700,RJ031998,Cantope Ebony Zoe Paquette,Female,Unknown,Unknown,Unknown,Unknown,None,Unknown,CKC,
Unknown,Unknown,PR15687101,PR10664503,Butler's Baby Cooper,Male,Unknown,Red,9/6/2007,None,None,Unknown,AKC,
PR12382805,PR12467908,PR15687101,PR13935707,Miss Lolli Lolli Pop Jo,Female,Unknown,Red,12/16/2009,None,86343,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1515739
PR02244909,PR03335206,PR13935707,PR12467908,Sir Luke Of Leatherstocking,Male,Unknown,Red,11/11/2008,AKC DNA #V652076,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1487321
Unknown,Unknown,PR13935707,PR12382805,Tootsie Boo Boo Of Leatherstocking,Female,Unknown,Apricot,10/27/2008,None,None,Unknown,AKC,
Unknown,Unknown,,PR03335206,Leatherstocking Coppercoopper,Male,Unknown,Red,11/8/2003,AKC DNA #V409962,None,Unknown,AKC,
Unknown,Unknown,PR12467908,PR02244909,Leatherstockin's Raspberry,Female,Unknown,Red,6/7/2003,None,None,Unknown,AKC,
PP54169214,PP45058008,PR07821005,PP64726509,Friendships Shiloh Garden,Male,Unknown,Brown,4/21/2001,AKC DNA #V241802,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=921777
