Child Reg #,Registration #,Registered Name,Sex,Registered Name (Upper),Call Name,Color,Birthday,DNA Info,CHIC #,Hips,Registration Type,OFA Link
None,PR23772310,Phillip William Gilligan,Male,,Gilligan,Red,3/9/2021,None,None,Unknown,AKC,None
PR23772310,PR19520702,Sharmik's JJ'S Riley On The Edge,Female,SHARMIK'S JJ'S RILEY ON THE EDGE,Riley,Black,10/28/2016,None,137584,Good,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2024788#
PR19520702,PR16278901,Sharmik's Black Night,Male,SHARMIK'S BLACK NIGHT,Unknown,Black,6/10/2012,AKC DNA #V765284,111731,Excellent,AKC,https://www.ofa.org/advanced-search?appnum=1630698
PR19520702,PR16837004,Touch O Class & Sharmik's Annie Get Ur Gun,Female,TOUCH O CLASS & SHARMIK'S ANNIE GET UR GUN,Unknown,Red,3/8/2013,None,107430,Good,AKC,https://www.ofa.org/advanced-search?appnum=1649302
PR16837004,PR06651904,President Lincoln Of Arroyo,Male,PRESIDENT LINCOLN OF ARROYO,Unknown,Apricot,6/15/2005,AKC DNA #V583386,46304,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1228756
PR16837004,PR09820906,Ms Fergi A Dutchess At A Touch Of Class,Female,MS FERGI A DUTCHESS AT A TOUCH OF CLASS,Unknown,Red,3/16/2007,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1523756
PR06651904,PR03773207,Mr Christal's He Is A Realgem,Male,MR CHRISTAL'S HE IS A REALGEM,Unknown,Apricot,1/18/2004,AKC DNA #V402801,None,Unknown,AKC,None
PR06651904,PR03506801,Victoria Pierre Elegant Copy,Female,VICTORIA PIERRE ELEGANT COPY,Unknown,Brown,8/16/2003,None,None,Unknown,AKC,None
PR09820906,PR07732403,Lemars Touch Of Class Red Pepper,Male,LEMARS TOUCH OF CLASS RED PEPPER,Unknown,Red,11/13/2005,AKC DNA #V468184,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1610703
PR09820906,PR02254301,Walter's Blazing Red Tasha,Female,WALTER'S BLAZING RED TASHA,Unknown,Red,6/14/2003,None,None,Unknown,AKC,None
PR07732403,PP56536803,Lemar's Flaming Red Fire,Male,LEMAR'S FLAMING RED FIRE,Unknown,Red,4/24/1998,AKC DNA #V174942,None,Unknown,AKC,None
PR07732403,PP57734303,Sunkist Miss Ginger Of Lemar,Female,SUNKIST MISS GINGER OF LEMAR,Unknown,Red,10/1/1998,None,None,Unknown,AKC,None
PR23772310,PR19917302,Heavenly Touch Of Crimson Red,Male,HEAVENLY TOUCH OF CRIMSON RED,Teddy,Red,4/5/2017,None,None,Fair,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2177535#
PR19917302,PR17970506,Heavenly Roscoe,Male,HEAVENLY ROSCOE,Unknown,Red,9/22/2014,AKC DNA #V780168,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765445
PR19917302,PR17396205,Heavenly Zandra,Female,HEAVENLY ZANDRA,Unknown,Red & Apricot,12/22/2013,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765443
PR17970506,PR16479603,Payden Cash Redz Jamaica Me Happy,Male,PAYDEN CASH REDZ JAMAICA ME HAPPY,Unknown,Red,8/31/2012,AKC DNA #V726594,101894,Good,AKC,https://www.ofa.org/advanced-search?appnum=1553980
PR17970506,PR15687101,Silverace's Baby Maggie May,Female,SILVERACE'S BABY MAGGIE MAY,Unknown,Red,11/8/2011,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1633900
PR17396205,PR16086901,Cantope's Heavenly Zachary,Male,CANTOPE'S HEAVENLY ZACHARY,Unknown,Apricot,4/20/2010,AKC DNA #V664129,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1576233
PR17396205,PR16087001,Cantope's Heavenly Zena,Female,CANTOPE'S HEAVENLY ZENA,Unknown,Red,5/28/2010,AKC DNA #V664128,None,Unknown,AKC,
PR16479603,PR14323903,Billingsley's Sam I Am,Male,BILLINGSLEY'S SAM I AM,Unknown,Red,5/21/2010,None,None,Unknown,AKC,
PR16479603,PR11944102,"Semonile Lady Of The Night ""Eboni""",Female,"SEMONILE LADY OF THE NIGHT ""EBONI""",Unknown,Black,7/21/2008,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1477576
PR11944102,PR07821005,Ami A Maya,Female,AMI A MAYA,Unknown,Black,2/21/2006,None,51730,Good,AKC,https://www.ofa.org/advanced-search?appnum=1309069
PR11944102,PR09389306,Forest Hills Lee's Red Ball,Male,FOREST HILLS LEE'S RED BALL,Unknown,Red,12/25/2006,AKC DNA #V524828,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1310837
PR16086901,SW134700,Cantope Zoric Maximus,Male,CANTOPE ZORIC MAXIMUS,Unknown,Apricot,11/9/2006,Unknown,None,Excellent,CKC,https://www.ofa.org/advanced-search?appnum=1347984
